code,name,provinceCode,name_norm
1301,石家庄市,13,石家庄
1302,唐山市,13,唐山
1303,秦皇岛市,13,秦皇岛
1304,邯郸市,13,邯郸
1305,邢台市,13,邢台
1306,保定市,13,保定
1307,张家口市,13,张家口
1308,承德市,13,承德
1309,沧州市,13,沧州
1310,廊坊市,13,廊坊
1311,衡水市,13,衡水
1401,太原市,14,太原
1402,大同市,14,大同
1403,阳泉市,14,阳泉
1404,长治市,14,长治
1405,晋城市,14,晋城
1406,朔州市,14,朔州
1407,晋中市,14,晋中
1408,运城市,14,运城
1409,忻州市,14,忻州
1410,临汾市,14,临汾
1411,吕梁市,14,吕梁
1501,呼和浩特市,15,呼和浩特
1502,包头市,15,包头
1503,乌海市,15,乌海
1504,赤峰市,15,赤峰
1505,通辽市,15,通辽
1506,鄂尔多斯市,15,鄂尔多斯
1507,呼伦贝尔市,15,呼伦贝尔
1508,巴彦淖尔市,15,巴彦淖尔
1509,乌兰察布市,15,乌兰察布
1522,兴安盟,15,兴安盟
1525,锡林郭勒盟,15,锡林郭勒盟
1529,阿拉善盟,15,阿拉善盟
2101,沈阳市,21,沈阳
2102,大连市,21,大连
2103,鞍山市,21,鞍山
2104,抚顺市,21,抚顺
2105,本溪市,21,本溪
2106,丹东市,21,丹东
2107,锦州市,21,锦州
2108,营口市,21,营口
2109,阜新市,21,阜新
2110,辽阳市,21,辽阳
2111,盘锦市,21,盘锦
2112,铁岭市,21,铁岭
2113,朝阳市,21,朝阳
2114,葫芦岛市,21,葫芦岛
2201,长春市,22,长春
2202,吉林市,22,吉林
2203,四平市,22,四平
2204,辽源市,22,辽源
2205,通化市,22,通化
2206,白山市,22,白山
2207,松原市,22,松原
2208,白城市,22,白城
2224,延边朝鲜族自治州,22,延边朝鲜族自治州
2301,哈尔滨市,23,哈尔滨
2302,齐齐哈尔市,23,齐齐哈尔
2303,鸡西市,23,鸡西
2304,鹤岗市,23,鹤岗
2305,双鸭山市,23,双鸭山
2306,大庆市,23,大庆
2307,伊春市,23,伊春
2308,佳木斯市,23,佳木斯
2309,七台河市,23,七台河
2310,牡丹江市,23,牡丹江
2311,黑河市,23,黑河
2312,绥化市,23,绥化
2327,大兴安岭地区,23,大兴安岭地区
3201,南京市,32,南京
3202,无锡市,32,无锡
3203,徐州市,32,徐州
3204,常州市,32,常州
3205,苏州市,32,苏州
3206,南通市,32,南通
3207,连云港市,32,连云港
3208,淮安市,32,淮安
3209,盐城市,32,盐城
3210,扬州市,32,扬州
3211,镇江市,32,镇江
3212,泰州市,32,泰州
3213,宿迁市,32,宿迁
3301,杭州市,33,杭州
3302,宁波市,33,宁波
3303,温州市,33,温州
3304,嘉兴市,33,嘉兴
3305,湖州市,33,湖州
3306,绍兴市,33,绍兴
3307,金华市,33,金华
3308,衢州市,33,衢州
3309,舟山市,33,舟山
3310,台州市,33,台州
3311,丽水市,33,丽水
3401,合肥市,34,合肥
3402,芜湖市,34,芜湖
3403,蚌埠市,34,蚌埠
3404,淮南市,34,淮南
3405,马鞍山市,34,马鞍山
3406,淮北市,34,淮北
3407,铜陵市,34,铜陵
3408,安庆市,34,安庆
3410,黄山市,34,黄山
3411,滁州市,34,滁州
3412,阜阳市,34,阜阳
3413,宿州市,34,宿州
3415,六安市,34,六安
3416,亳州市,34,亳州
3417,池州市,34,池州
3418,宣城市,34,宣城
3501,福州市,35,福州
3502,厦门市,35,厦门
3503,莆田市,35,莆田
3504,三明市,35,三明
3505,泉州市,35,泉州
3506,漳州市,35,漳州
3507,南平市,35,南平
3508,龙岩市,35,龙岩
3509,宁德市,35,宁德
3601,南昌市,36,南昌
3602,景德镇市,36,景德镇
3603,萍乡市,36,萍乡
3604,九江市,36,九江
3605,新余市,36,新余
3606,鹰潭市,36,鹰潭
3607,赣州市,36,赣州
3608,吉安市,36,吉安
3609,宜春市,36,宜春
3610,抚州市,36,抚州
3611,上饶市,36,上饶
3701,济南市,37,济南
3702,青岛市,37,青岛
3703,淄博市,37,淄博
3704,枣庄市,37,枣庄
3705,东营市,37,东营
3706,烟台市,37,烟台
3707,潍坊市,37,潍坊
3708,济宁市,37,济宁
3709,泰安市,37,泰安
3710,威海市,37,威海
3711,日照市,37,日照
3713,临沂市,37,临沂
3714,德州市,37,德州
3715,聊城市,37,聊城
3716,滨州市,37,滨州
3717,菏泽市,37,菏泽
4101,郑州市,41,郑州
4102,开封市,41,开封
4103,洛阳市,41,洛阳
4104,平顶山市,41,平顶山
4105,安阳市,41,安阳
4106,鹤壁市,41,鹤壁
4107,新乡市,41,新乡
4108,焦作市,41,焦作
4109,濮阳市,41,濮阳
4110,许昌市,41,许昌
4111,漯河市,41,漯河
4112,三门峡市,41,三门峡
4113,南阳市,41,南阳
4114,商丘市,41,商丘
4115,信阳市,41,信阳
4116,周口市,41,周口
4117,驻马店市,41,驻马店
4201,武汉市,42,武汉
4202,黄石市,42,黄石
4203,十堰市,42,十堰
4205,宜昌市,42,宜昌
4206,襄阳市,42,襄阳
4207,鄂州市,42,鄂州
4208,荆门市,42,荆门
4209,孝感市,42,孝感
4210,荆州市,42,荆州
4211,黄冈市,42,黄冈
4212,咸宁市,42,咸宁
4213,随州市,42,随州
4228,恩施土家族苗族自治州,42,恩施土家族苗族自治州
4301,长沙市,43,长沙
4302,株洲市,43,株洲
4303,湘潭市,43,湘潭
4304,衡阳市,43,衡阳
4305,邵阳市,43,邵阳
4306,岳阳市,43,岳阳
4307,常德市,43,常德
4308,张家界市,43,张家界
4309,益阳市,43,益阳
4310,郴州市,43,郴州
4311,永州市,43,永州
4312,怀化市,43,怀化
4313,娄底市,43,娄底
4331,湘西土家族苗族自治州,43,湘西土家族苗族自治州
4401,广州市,44,广州
4402,韶关市,44,韶关
4403,深圳市,44,深圳
4404,珠海市,44,珠海
4405,汕头市,44,汕头
4406,佛山市,44,佛山
4407,江门市,44,江门
4408,湛江市,44,湛江
4409,茂名市,44,茂名
4412,肇庆市,44,肇庆
4413,惠州市,44,惠州
4414,梅州市,44,梅州
4415,汕尾市,44,汕尾
4416,河源市,44,河源
4417,阳江市,44,阳江
4418,清远市,44,清远
4419,东莞市,44,东莞
4420,中山市,44,中山
4451,潮州市,44,潮州
4452,揭阳市,44,揭阳
4453,云浮市,44,云浮
4501,南宁市,45,南宁
4502,柳州市,45,柳州
4503,桂林市,45,桂林
4504,梧州市,45,梧州
4505,北海市,45,北海
4506,防城港市,45,防城港
4507,钦州市,45,钦州
4508,贵港市,45,贵港
4509,玉林市,45,玉林
4510,百色市,45,百色
4511,贺州市,45,贺州
4512,河池市,45,河池
4513,来宾市,45,来宾
4514,崇左市,45,崇左
4601,海口市,46,海口
4602,三亚市,46,三亚
4603,三沙市,46,三沙
4604,儋州市,46,儋州
5101,成都市,51,成都
5103,自贡市,51,自贡
5104,攀枝花市,51,攀枝花
5105,泸州市,51,泸州
5106,德阳市,51,德阳
5107,绵阳市,51,绵阳
5108,广元市,51,广元
5109,遂宁市,51,遂宁
5110,内江市,51,内江
5111,乐山市,51,乐山
5113,南充市,51,南充
5114,眉山市,51,眉山
5115,宜宾市,51,宜宾
5116,广安市,51,广安
5117,达州市,51,达州
5118,雅安市,51,雅安
5119,巴中市,51,巴中
5120,资阳市,51,资阳
5132,阿坝藏族羌族自治州,51,阿坝藏族羌族自治州
5133,甘孜藏族自治州,51,甘孜藏族自治州
5134,凉山彝族自治州,51,凉山彝族自治州
5201,贵阳市,52,贵阳
5202,六盘水市,52,六盘水
5203,遵义市,52,遵义
5204,安顺市,52,安顺
5205,毕节市,52,毕节
5206,铜仁市,52,铜仁
5223,黔西南布依族苗族自治州,52,黔西南布依族苗族自治州
5226,黔东南苗族侗族自治州,52,黔东南苗族侗族自治州
5227,黔南布依族苗族自治州,52,黔南布依族苗族自治州
5301,昆明市,53,昆明
5303,曲靖市,53,曲靖
5304,玉溪市,53,玉溪
5305,保山市,53,保山
5306,昭通市,53,昭通
5307,丽江市,53,丽江
5308,普洱市,53,普洱
5309,临沧市,53,临沧
5323,楚雄彝族自治州,53,楚雄彝族自治州
5325,红河哈尼族彝族自治州,53,红河哈尼族彝族自治州
5326,文山壮族苗族自治州,53,文山壮族苗族自治州
5328,西双版纳傣族自治州,53,西双版纳傣族自治州
5329,大理白族自治州,53,大理白族自治州
5331,德宏傣族景颇族自治州,53,德宏傣族景颇族自治州
